id_municipio,ano,funcao,despesa_total,elemento_34,elemento_36,elemento_39,terceirizacao_total
5212006,2019,Outros,63836132.79000001,666988.4,192871.85,2969548.96,3829409.21
5200555,2019,Outros,446251883.00000006,5210312.57,344057.26,25429003.63,30983373.46
5222005,2019,Outros,260232270.65000004,2557.93,0.0,0.0,2557.93
5210406,2019,Outros,516755065.12,0.0,0.0,0.0,0.0
5207600,2019,Outros,85298147.46999998,0.0,0.0,0.0,0.0
5202155,2019,Outros,99919542.89000002,2565.72,1051604.44,4354148.17,5408318.329999999
5213400,2019,Outros,61570683.529999994,0.0,0.0,0.0,0.0
5200852,2019,Outros,78388357.97999999,0.0,686721.19,2745368.83,3432090.02
5220454,2019,Outros,2382142702.77,1492901.4,14157382.17,140968906.91,156619190.48
5220686,2019,Outros,95085925.50999999,0.0,0.0,0.0,0.0
5212303,2019,Outros,127945131.85000001,0.0,0.0,0.0,0.0
5208103,2019,Outros,88591933.61,0.0,0.0,0.0,0.0
2204907,2019,Outros,106559617.0,0.0,1604989.66,3803732.43,5408722.09
2208650,2019,Outros,119262082.15,0.0,1129517.92,5440921.69,6570439.61
2205607,2019,Outros,106809271.77000001,0.0,1042370.66,2805601.59,3847972.25
2207793,2019,Outros,67796997.51,0.0,2388383.42,2443426.64,4831810.0600000005
2210102,2019,Outros,72417388.71,0.0,248670.2,2355535.32,2604205.52
2203107,2019,Outros,145443355.85000002,0.0,4399462.32,3866411.5,8265873.82
2202703,2019,Outros,286036690.85,0.0,6762547.78,6665734.33,13428282.11
2208007,2019,Outros,1000152471.7399998,0.0,5108773.38,41888037.49,46996810.870000005
2207355,2019,Outros,66476193.010000005,0.0,388281.17,2167451.79,2555732.96
2200954,2019,Outros,60274603.78999999,0.0,2964331.97,1252850.55,4217182.5200000005
2605152,2019,Outros,264530903.00999993,0.0,723576.17,8796543.88,9520120.05
2604155,2019,Outros,191374125.5,0.0,1104009.88,5470051.32,6574061.2
2604403,2019,Outros,160241909.29,0.0,2795326.55,3661584.98,6456911.529999999
2608404,2019,Outros,201244082.35000002,0.0,1856925.4,5033976.41,6890901.8100000005
2616308,2019,Outros,409907681.6500001,0.0,1205770.82,7094745.71,8300516.53
