id_municipio;ano;despesa_corrente_total;elemento_39
2402808;2023;96795258,42;3130894,73
2403004;2023;161671740,35;6616870,85
2403806;2023;133712235,45000002;9374748,07
2405702;2023;157890242,25;5979197,31
2406106;2023;283857978,73;16708608,63
2407401;2023;123752027,08;4348817,75
2412005;2023;1493631045,5;92802870,74
2414159;2023;126990273,75999999;4617712,63
2201507;2023;367400309,49;26208749,34
2202059;2023;161115906,88;8969038,9
2202851;2023;89289329,22;4060632,32
2203271;2023;179166273,81000003;14523940,02
2203701;2023;600958583,48;20492931,59
2205532;2023;113138149,0;4433566,47
2205706;2023;511351280,27999985;39844308,01
2205904;2023;105275120,53999999;5322987,91
2207108;2023;83143220,23;4363303,88
2207603;2023;172177481,41;8477063,82
2207777;2023;107383145,3;7442139,09
2207959;2023;85234026,57;4308618,12
2208106;2023;171667848,81;8528309,82
2208205;2023;273383255,34;12688267,85
2208551;2023;79244245,96;3392736,83
2208858;2023;135820059,38;7761206,84
2209005;2023;121264680,04;5159334,53
2209302;2023;115942753,88;6055799,09
2209500;2023;98251926,25999999;6611154,48
2209971;2023;173823871,19;6112570,53
2210375;2023;69994984,59;2621581,75
2211001;2023;16537780434,650002;739376571,5
5201405;2023;7295372868,570001;322632668,39
5201454;2023;129332045,99000001;4044410,25
5201801;2023;215046548,59000003;8345244,05
5202155;2023;144626786,10999998;4078602,2
5202601;2023;101026931,39999999;2776553,15
5205513;2023;326106907,45;0,0
5206800;2023;89555757,11;4748740,4
5207253;2023;190577200,01999998;27167,32
5208103;2023;113722196,79;0,0
5208301;2023;132430685,76999998;0,0
5209937;2023;184187454,10999998;5602866,35
5209952;2023;335545150,07;14115846,79
5210158;2023;91221588,82000001;0,0
5210562;2023;109574657,25;0,0
5210604;2023;117571617,35999998;3218702,76
5211305;2023;175868407,70000002;6292435,06
5214606;2023;740023944,71;44748975,29
5214861;2023;118275542,65;0,0
5217203;2023;260212354,48000002;11845668,7
5218391;2023;88545132,47;0,0
5219357;2023;123063293,82;4698204,14
5219803;2023;213340366,08999997;13146190,33
5220157;2023;145627413,32;6743780,47
5220264;2023;131021645,80999999;4776284,31
5221858;2023;2321669179,83;3551386,87
5222005;2023;314480046,03;16397583,6
4200705;2023;187294060,75;7856031,39
4201406;2023;848093196,5100002;44246115,3
4202057;2023;292957795,12;12581955,33
4202131;2023;153034225,7;7545238,34
4202156;2023;92241207,91000001;4891082,34
4203501;2023;190615809,55999997;8657078,32
4204350;2023;168082130,62000003;9296534,53
4204756;2023;90973950,73;5088301,92
4205001;2023;293688263,4;19734140,48
4206801;2023;107284561,61000001;4400196,45
4206900;2023;349325721,46;17830734,75
4209102;2023;12870074681,39;403979635,3
4209201;2023;91039766,63;2482999,54
4211850;2023;101629012,99000001;4843219,17
4211900;2023;3434047595,25;156805022,03
4212205;2023;340603212,34;16371434,85
4212304;2023;159561878,63;8023698,46
4212908;2023;453516562,4;24339336,65
4214003;2023;365431044,75;17659988,81
4214300;2023;128122984,57;4249626,83
4215455;2023;207565038,54000002;8870770,02
4215703;2023;584018996,82;30333021,92
4216255;2023;163747023,66000006;9311540,88
4216354;2023;126196269,88999999;3667613,39
4217105;2023;97194683,89000002;4368105,61
4217600;2023;268318842,34;6802913,92
4218806;2023;232911352,96000004;13743784,31
2900603;2023;160428450,29;9168522,23
2901155;2023;297220958,59000003;14947224,12
2901502;2023;171070148,03;6948319,67
2901601;2023;316330522,64;25932157,4
2902005;2023;225688813,37;5849434,81
2902203;2023;173338815,02;13901477,71
2902658;2023;281925614,65;12709574,62
2904209;2023;215274756,76999998;20272151,02
2905008;2023;352348731,0;22437671,21
2905107;2023;195906862,62;12130978,49
2906303;2023;506043597,06000006;27507657,95
2906873;2023;481058990,95000005;27677535,59
2907608;2023;237342347,95;9098446,76
2909208;2023;433492282,88;21173861,22
2910800;2023;6825154162,459999;425043607,9
2911808;2023;311773499,41;10105033,92
2912202;2023;395688187,69;23877588,93
2913457;2023;251583691,60000002;13751780,78
2913507;2023;321623686,78;13569001,53
2913804;2023;305164098,01;18791982,77
2914307;2023;167951603,03;9783189,74
2914703;2023;1063773379,5500001;57402853,69
2916500;2023;613398299,9300001;39345736,37
2916856;2023;300719998,54999995;21509602,31
2918704;2023;132642871,42;5914611,59
2920700;2023;435591526,06;30670544,97
2921450;2023;144925885,22000003;6504932,98
2922854;2023;135914668,48000002;5194520,42
2923100;2023;362990276,84999996;16796595,31
2924652;2023;172482419,02999997;8099200,44
2925907;2023;442166180,96000004;33842696,01
2926657;2023;186266521,69999996;8505294,8
2927408;2023;35101295406,34;2380773764,3
2927507;2023;336742862,64000005;25179763,46
2928505;2023;189368984,14000002;8589683,78
2930600;2023;231362884,69;14155535,54
2930774;2023;451780115,75;19327324,95
2933158;2023;240991420,35999998;13834256,77
2933505;2023;378837942,15999997;16199308,39
4102000;2023;640964612,21;18572953,98
4103024;2023;102025301,52999997;5806038,09
4104600;2023;303545342,54999995;14634561,3
4106100;2023;94013562,53000003;4648878,48
4106209;2023;332774562,95000005;10055231,35
4106605;2023;429146728,4000001;25072195,83
4107736;2023;152851110,04000002;7071472,65
4108601;2023;493586545,46;25699744,26
4108650;2023;96427285,69;3511937,42
4108957;2023;145593528,26999998;6450743,6
4109005;2023;116887544,95;4697941,23
4109500;2023;152969017,17999998;5862343,36
4111506;2023;489683296,41999996;27722094,24
4112108;2023;396926997,19000006;0,0
4112207;2023;157308791,5;3213835,37
4113106;2023;255488906,70999998;16570074,26
4113601;2023;155560333,32000002;6535985,51
4114351;2023;92748322,33;4594258,22
4115101;2023;206897586,67000002;7683788,35
4115754;2023;198208411,76999998;7750261,66
4116109;2023;259354901,40999997;7607169,07
4116604;2023;112582421,46000001;6181367,72
4117701;2023;767314988,4699999;30511085,79
4118204;2023;3659606773,829999;104823793,24
4119707;2023;117169712,55000001;5276896,74
4119954;2023;677404690,2;33721515,32
4120358;2023;154759654,02;8683035,32
4122156;2023;265684028,39999998;6491435,44
4124103;2023;609802400,2600001;22443421,42
4126256;2023;1368225925,91;48002443,49
4126652;2023;111137183,94;3493804,35
4128807;2023;145064581,00000003;4562336,47
4300554;2023;82208380,15;2773870,86
4302808;2023;820346505,5099999;21180214,75
4303673;2023;108939091,10000001;4826404,22
4304309;2023;154597927,13999996;7705675,96
4304408;2023;999547434,9399999;87129666,91
4304853;2023;77177070,07;4075625,36
4305108;2023;10781619190,64;511389055,75
4305371;2023;82754116,60000001;2621196,21
4305439;2023;138685380,06000003;5520161,58
4305454;2023;364578898,1100001;18001920,76
4306924;2023;83474452,51;3299916,61
4307450;2023;105288903,39;5130090,13
4308706;2023;131131315,03;7481760,13
4308854;2023;84913275,54;4186552,24
4309050;2023;187299863,42000002;8082434,36
4309555;2023;151612545,17000002;6303739,03
4309571;2023;86395168,17999999;4392644,92
4309654;2023;142909681,04000002;3942028,76
4310504;2023;135350032,29;7794838,49
4310579;2023;78063920,16999999;3351213,76
4310850;2023;104932312,46000001;3020786,02
4311205;2023;426694966,47999996;14518725,16
4311700;2023;136524211,72000003;7857319,73
4311734;2023;93211860,79000002;2734078,01
4312401;2023;1401833949,41;58506743,41
4312443;2023;113105955,67999999;4412681,08
4312625;2023;74325562,26000002;2900172,52
4313003;2023;130703608,28000003;7416844,88
4313490;2023;114855170,27000004;5242418,23
4313508;2023;1177540798,56;50041932,43
4313706;2023;601301932,47;16578991,5
4314035;2023;140319517,31;8169523,43
4315503;2023;303278506,31999993;12467810,78
4316105;2023;206390779,39999998;14484927,88
4316436;2023;126951294,61000001;6419048,57
4316808;2023;2715759678,8;215603960,53
4317608;2023;743761724,4599998;38650710,93
4317905;2023;309337915,46;9828612,17
4318051;2023;91166291,03999999;5689627,6
4318424;2023;126776246,74000001;6463638,69
4318705;2023;4427610015,25;300922991,49
4319737;2023;86619692,23999998;2712844,83
4320206;2023;273630153,99;9468954,85
4320859;2023;113018641,35;4413661,47
4321204;2023;880505315,8399999;41441730,86
4321329;2023;108910390,72;3482570,26
4321436;2023;213833176,60000002;10558987,9
4321634;2023;108040644,55000001;3919670,76
4322186;2023;77825659,05;3772972,94
4322350;2023;66053044,85000001;3264728,74
3502408;2023;123309871,32999998;6720546,1
3503000;2023;146977803,05999997;8346260,73
3503158;2023;142964468,72;10726300,16
3503208;2023;5272656644,009999;368982027,86
3503901;2023;2142547831,3899999;164101019,37
3505708;2023;14827152957,78;724481443,16
3506003;2023;6948929308,379999;344960206,39
3506508;2023;2118581022,9199996;67976969,61
3507605;2023;3172557335,6200004;212739104,93
3509304;2023;189191827,06;7671916,37
3510153;2023;135103040,93;7559273,77
3510401;2023;1241272308,11;65387916,56
3511003;2023;595464632,6800002;31417305,29
3511607;2023;370083281,08000004;26647590,32
3512803;2023;1189138138,67;69087302,57
3514601;2023;215111715,88;12595301,1
3515103;2023;1024464664,63;67329894,91
3517208;2023;215628120,95999998;15816690,94
3520202;2023;255630648,28;15499198,55
3524907;2023;207310248,51;10690421,7
3526209;2023;509715381,26;37893683,78
3526902;2023;6286078414,979999;448243288,09
3527603;2023;501153683,11999995;32298091,41
3527702;2023;122150322,21000001;4687458,03
3529104;2023;104791370,77000001;4056066,06
3530607;2023;8157657105,56;432989293,38
3531001;2023;114910386,2;5235665,23
3532603;2023;234886849,13;10605573,01
3533205;2023;175650904,08999997;8714708,42
3534708;2023;2517344019,07;131028680,21
3535606;2023;438025259,80999994;22250143,32
3536406;2023;213889615,67000002;12574350,13
3536505;2023;8035975157,889999;521283330,12
3536703;2023;853924247,99;38482919,36
3540606;2023;1556814400,0899997;123593155,25
3540705;2023;1095025011,1799998;31604261,76
3541208;2023;263276110,51999998;9230781,46
3543238;2023;97377328,1;4350159,57
3545506;2023;190892803,04999998;6451362,5
3545704;2023;195464993,07;6443654,76
3546405;2023;1052214891,12;56331768,56
3546801;2023;931062665,6;76742953,79
3548203;2023;184922383,96999997;11777240,29
3550001;2023;233325513,75;12948961,6
3550506;2023;221107442,08999997;15910073,52
3551306;2023;171192758,28;9686049,69
3551801;2023;262818184,51999998;28440266,6
3552007;2023;191401761,38;8118305,57
3556107;2023;268683564,18999994;11023478,02
3101003;2023;229694024,49999997;10253250,71
3101201;2023;139921839,95999998;13359591,12
3101508;2023;488839435,98000014;19204335,87
3101805;2023;141858292,32;7379673,22
3103207;2023;89147010,32;4779700,14
3106804;2023;88209926,46;4563002,91
3107802;2023;197797133,57;10162739,56
3108800;2023;118244976,9;6170008,38
3109451;2023;210122566,0;10068481,57
3109501;2023;209778119,92;11776321,66
3110707;2023;175836801,23999998;7870069,87
