ano,indice_medio,fator_deflacao
2018,5025.994166666666,1.3832235181331456
2019,5213.613333333334,1.333446285493618
2020,5381.0625,1.2919517908095908
2021,5827.78,1.1929196595158593
2022,6368.604166666667,1.091616491054751
2023,6661.15,1.0436746407652333
2024,6952.073333333334,1
