id_municipio,ano,funcao,despesa_total,elemento_34,elemento_36,elemento_39,terceirizacao_total
1600303,2023,Outros,10379449463.588886,0,11372513.08511019,395659028.3477704,407031541.43288064
2709202,2023,Outros,669305238.2253528,0,9352856.979123104,19535826.09118706,28888683.070310164
2705705,2023,Outros,570660501.4633628,0,1293856.8842492865,21529730.07856082,22823586.962810107
2703601,2023,Outros,320607204.99354064,395499.58668430126,1383551.5039759802,9968939.54940108,11747990.640061362
2706406,2023,Outros,753622137.5790534,0,5177738.984097541,0,5177738.984097541
2705200,2023,Outros,486615875.09413195,0,586590.2139810494,10074879.111025734,10661469.325006783
2709301,2023,Outros,1815221830.08984,0,1030119.0292448502,75508649.9933777,76538769.02262256
2706604,2023,Outros,267276220.36942947,0,1493780.4640067157,6354947.046429071,7848727.510435787
2707909,2023,Outros,305164729.4770761,0,195868.86203107072,20629206.73864639,20825075.60067746
2703007,2023,Outros,391140068.4547697,0,608378.1432063533,13516075.434238015,14124453.577444367
2706802,2023,Outros,531775803.0846751,0,2609197.4352558544,40967991.084750965,43577188.52000681
1100262,2023,Outros,232086630.20182404,0,45800.93103773373,8264826.875824105,8310627.806861838
1100072,2023,Outros,326424337.3028098,0,64603.46026336794,9439416.233240997,9504019.693504365
1101757,2023,Outros,235767591.04830146,1666125.7554481435,217083.92868280504,10397541.761262896,12280751.445393845
1100809,2023,Outros,555949349.442877,0,678561.0150420273,11732608.733597344,12411169.74863937
1101476,2023,Outros,163632085.1785162,0,38324.25464621975,8068598.833165415,8106923.087811634
1100023,2023,Outros,2310474083.206381,0,8198944.496655944,60019588.097214326,68218532.59387027
1200013,2023,Outros,363005740.0975162,0,624779.4066920077,12372235.904508973,12997015.311200978
1200302,2023,Outros,541218913.6756623,0,2120893.2975870534,24198370.483071793,26319263.78065885
1300607,2023,Outros,1021124082.4282062,0,2208235.537293941,38136189.92393548,40344425.46122942
1302553,2023,Outros,517266748.2007537,0,740916.6401743543,18746159.325048592,19487075.965222947
1300029,2023,Outros,644803352.0443376,0,220383.7669782445,12219938.01653119,12440321.783509435
1300904,2023,Outros,404255708.71276337,0,1964466.7266611222,8192538.661756094,10157005.388417216
1301654,2023,Outros,415742696.64551467,0,6245989.636960166,4680055.457236394,10926045.09419656
1303569,2023,Outros,847848184.2367445,0,13705355.275596287,38465245.19615154,52170600.47174783
1300409,2023,Outros,613155543.0740207,0,1071290.470058063,14698471.70757625,15769762.177634312
3204252,2023,Outros,310156916.3542768,0,467175.4142200972,9818270.743606815,10285446.157826914
3203320,2023,Outros,2591360843.4942384,0,7270429.531520784,108388698.75829783,115659128.2898186
3204906,2023,Outros,2752380933.3545213,0,8962407.326992357,96375393.6674462,105337800.99443854
3204351,2023,Outros,651550810.7830689,0,1227043.4742443373,22596053.61750951,23823097.091753848
3202207,2023,Outros,634676188.225752,0,1338569.012154788,25686945.588497452,27025514.60065224
3201100,2023,Outros,350031899.82175857,0,1061278.0921960925,6817962.717943708,7879240.8101398
1711803,2023,Outros,110126850.58805446,0,285145.4065701668,5593725.204718055,5878870.611288222
1718808,2023,Outros,150537821.53757176,0,75905.97653252065,4497754.751694888,4573660.728227409
1703909,2023,Outros,216171375.77155647,0,272917.93365063594,14908369.758932699,15181287.692583334
1713601,2023,Outros,216749353.4675977,632466.8323037314,2194419.4454567158,7056885.444553809,9883771.722314257
1702158,2023,Outros,164658257.0720167,0,196448.00752597777,11121127.610006291,11317575.617532268
1715002,2023,Outros,127778006.30983034,0,319375.70132353524,4120250.109235943,4439625.810559479
1700301,2023,Outros,183512187.87903988,0,465128.9874212311,6714886.884729104,7180015.872150335
1714302,2023,Outros,140794011.95950857,0,328383.6884582192,3594528.972849393,3922912.6613076124
1721109,2023,Outros,209334357.60027468,0,300555.4505025008,10987064.784478467,11287620.234980969
1703107,2023,Outros,153001596.28110915,0,56391.61945489894,4535483.610832044,4591875.230286943
1707702,2023,Outros,222398870.02230102,0,2109537.8252666285,8965705.15099574,11075242.976262368
2806503,2023,Outros,151429191.5377843,0,300062.9404395237,6409696.694318639,6709759.634758163
2807006,2023,Outros,153675323.14132962,0,450612.78819823405,2869406.7828510595,3320019.5710492935
2802502,2023,Outros,188429482.01035953,0,367802.6847453768,9201663.71638511,9569466.401130486
2806701,2023,Outros,1541316314.1337528,0,2911105.2376108733,85125517.71711357,88036622.95472445
2803104,2023,Outros,143398300.82594097,0,126894.13752280013,5290777.39102026,5417671.52854306
2804805,2023,Outros,3142235342.6553698,0,14482744.065399358,178496589.3444813,192979333.40988064
